Confidences,Answers
80,1
80,0
0,0
40,0
40,0
60,0
60,0
0,0
60,0
60,0
60,0
40,0
60,0
40,0
80,1
40,1
40,0
60,1
40,1
40,0
40,1
40,0
40,0
40,0
60,0
40,0
60,0
40,0
40,0
60,0
0,1
20,0
40,0
40,0
40,0
0,0
40,0
0,0
60,0
60,0
80,0
20,0
40,1
60,0
40,0
60,0
40,0
60,0
60,1
60,0
60,0
20,0
60,0
40,0
80,0
20,0
40,1
60,0
20,0
60,0
40,0
40,0
60,0
60,0
60,0
40,0
60,0
60,0
80,0
20,0
80,0
60,1
60,1
80,0
60,0
80,1
80,0
80,0
80,1
60,0
60,0
80,0
80,0
40,0
60,0
80,0
40,1
80,0
60,0
60,0
100,0
60,0
60,0
40,0
60,0
40,1
80,1
40,1
60,0
100,1
40,1
60,0
60,0
60,0
60,1
80,0
60,0
60,0
60,0
60,0
60,0
60,0
