Participant,Grade,Group,A1.1_ans,A1.1_conf,A1.2_ans,A1.2_conf,A1.3_ans,A1.3_conf,A2.1_ans,A2.1_conf,A2.2_ans,A2.2_conf,A3.1_ans,A3.1_conf,A3.2_ans,A3.2_conf,A3.3_ans,A3.3_conf,scores
1,3,A,1,80,1,80,0,40,1,40,1,40,0,80,0,60,0,60,4
2,2,B,0,80,1,40,0,60,0,60,0,60,1,60,0,80,1,100,3
3,3,A,0,0,0,40,1,0,0,40,0,20,1,60,1,40,1,40,4
4,2,B,0,40,1,60,0,20,0,60,0,60,0,80,0,80,0,60,1
5,2,B,0,40,1,40,0,40,0,40,0,40,0,60,0,60,0,60,1
6,4,A,0,60,0,40,0,40,0,60,0,40,1,80,0,60,0,60,1
7,3,A,0,60,1,40,0,40,1,60,0,60,0,80,0,100,1,60,3
8,4,B,0,0,0,40,0,0,0,60,0,60,0,80,0,60,0,80,0
9,3,B,0,60,0,40,0,40,0,60,0,60,1,80,0,60,0,60,1
10,2,A,0,60,0,40,0,0,0,20,0,40,0,60,0,40,0,60,0
11,1,A,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0
12,2,A,0,40,0,40,0,60,0,40,0,60,0,80,1,40,0,60,1
13,3,B,0,60,0,60,0,80,0,80,0,80,0,80,1,80,0,60,1
14,3,B,0,40,0,40,0,20,0,20,0,20,0,40,1,40,0,60,1
