#timestamp,left_gaze_x,left_gaze_y,left_position_x,left_position_y,left_position_z,left_pupil,right_gaze_x,right_gaze_y,right_position_x,right_position_y,right_position_z,right_pupil,click_count
1467879380.336331,119.853994,405.872088,-57.851581,-38.820901,501.203044,2.737397,48.896226,329.172982,-2.493702,-41.274754,524.180448,3.051282,0
1467879380.353030,134.427246,402.506637,-57.809162,-38.821249,500.950967,2.731618,50.215069,322.178677,-2.445044,-41.278525,523.846725,3.053634,0
1467879380.369850,139.694317,403.569214,-57.970715,-38.936626,502.029571,2.739926,42.723399,352.924654,-2.242444,-39.880666,505.401729,3.036686,0
1467879380.386331,135.675966,406.820141,-57.741643,-38.866045,500.435247,2.740411,51.729854,356.975707,-2.205127,-39.579325,500.832998,3.019614,0
1467879380.403040,138.988097,412.171706,-57.847331,-38.959927,501.230871,2.756845,73.104950,402.735130,-2.085323,-38.370569,484.637361,2.978851,0
1467879380.419639,274.268188,403.515395,-57.605642,-39.046362,502.763307,2.772043,259.507817,337.439382,-1.933289,-41.254679,523.192538,3.004445,0
1467879380.436350,402.092435,328.599084,-57.409075,-39.138659,504.348619,2.776290,371.845779,341.287395,-1.588786,-41.022083,521.676857,3.026426,0
1467879380.452949,391.696042,334.461829,-57.379964,-39.169118,504.214203,2.778297,368.347911,336.221276,-1.613964,-41.228920,524.204369,3.042269,0
1467879380.469896,391.318765,337.636236,-57.462002,-39.196582,505.241625,2.773655,368.318794,339.611468,-1.578311,-41.113493,523.160279,3.040070,0
1467879380.486633,389.416145,322.842079,-57.302006,-39.139543,504.203677,2.773533,369.226495,343.745724,-1.592152,-41.194703,524.823432,3.049026,0
1467879380.503353,385.571971,325.289845,-57.264301,-39.041917,503.805546,2.777436,370.890346,343.704108,-1.564350,-41.059570,523.253230,3.065623,0
1467879380.519758,384.587764,323.339016,-56.994116,-38.927837,501.818040,2.768732,369.530740,348.383990,-1.555620,-40.938153,521.893956,3.067829,0
1467879380.536490,390.336316,324.971534,-57.700573,-39.294489,507.269750,2.768763,371.350953,348.073419,-1.545050,-40.894926,521.426436,3.072070,0
1467879380.553344,389.910938,325.141859,-57.680151,-39.288207,507.137888,2.765224,371.722742,350.613598,-1.541855,-40.874664,520.736338,3.077588,0
