# timestamp,time_from_start,face,face_filtered,nose,nose_filtered,background
1467874288.646,0.000,34.409,nan,29.742,nan,22.336
1467874289.656,1.010,34.289,nan,29.452,nan,22.630
1467874290.678,2.032,34.263,nan,29.435,nan,22.831
1467874291.709,3.063,34.168,nan,29.632,nan,22.953
1467874292.733,4.087,34.225,nan,29.234,nan,23.036
1467874293.758,5.112,34.234,nan,29.410,nan,23.194
1467874294.785,6.139,34.133,nan,29.317,nan,23.307
1467874295.812,7.166,34.114,nan,30.172,nan,23.205
1467874296.836,8.190,34.082,nan,29.773,nan,23.250
1467874297.859,9.213,34.089,nan,29.350,nan,23.214
1467874298.882,10.236,34.087,nan,29.596,nan,23.184
1467874299.907,11.261,34.032,nan,29.967,nan,23.293
1467874300.926,12.280,34.128,nan,29.596,nan,23.165
1467874301.971,13.325,34.122,nan,29.266,nan,23.051
1467874302.986,14.340,34.196,nan,29.228,nan,22.987
1467874304.003,15.357,34.104,nan,29.133,nan,22.970
1467874305.037,16.391,34.175,nan,29.206,nan,22.761
1467874306.069,17.423,34.183,nan,29.259,nan,22.747
1467874307.092,18.446,34.179,nan,29.331,nan,22.713
1467874308.108,19.462,34.199,nan,29.265,nan,22.670
1467874309.136,20.490,34.219,nan,29.386,nan,22.589
1467874310.163,21.517,34.249,nan,29.242,nan,22.510
1467874311.189,22.543,34.255,nan,29.041,nan,22.426
1467874312.222,23.576,34.369,nan,29.460,nan,22.270
1467874313.243,24.597,34.379,nan,29.652,nan,22.208
1467874314.271,25.625,34.264,nan,29.201,nan,22.324
1467874315.299,26.653,34.302,34.326,29.481,29.531,22.255
1467874316.324,27.678,34.305,34.328,29.328,29.532,22.243
1467874317.343,28.697,34.327,34.330,29.357,29.531,22.237
1467874318.367,29.721,34.358,34.335,29.686,29.535,22.193
1467874319.396,30.750,34.343,34.340,29.554,29.541,22.188
1467874320.417,31.771,34.383,34.347,29.403,29.542,22.137
1467874321.445,32.799,34.442,34.353,29.605,29.552,22.039
1467874322.472,33.826,34.466,34.359,29.629,29.555,21.962
1467874323.491,34.845,34.422,34.366,29.504,29.562,21.986
1467874324.530,35.884,34.411,34.373,29.732,29.555,21.984
1467874325.553,36.907,34.424,34.382,29.554,29.554,21.993
1467874326.584,37.938,34.547,34.392,29.852,29.562,21.788
1467874327.603,38.957,34.473,34.400,29.683,29.562,21.958
1467874328.629,39.983,34.451,34.408,29.303,29.557,21.980
1467874329.654,41.008,34.507,34.416,29.908,29.559,21.915
1467874330.679,42.033,34.451,34.423,29.674,29.567,21.996
1467874331.706,43.060,34.511,34.430,29.718,29.576,21.893
1467874332.736,44.090,34.516,34.439,29.740,29.588,21.919
1467874333.756,45.110,34.386,34.448,29.636,29.600,22.065
1467874334.778,46.132,34.443,34.456,29.424,29.610,22.053
1467874335.810,47.164,34.438,34.463,29.680,29.620,22.064
1467874336.838,48.192,34.485,34.470,29.770,29.629,22.028
1467874337.856,49.210,34.510,34.477,29.654,29.635,21.990
1467874338.878,50.232,34.531,34.482,29.623,29.642,21.979
1467874339.912,51.266,34.480,34.488,29.756,29.651,22.060
1467874340.924,52.278,34.514,34.492,29.586,29.660,22.032
1467874341.951,53.305,34.468,34.496,29.552,29.661,22.015
1467874342.980,54.334,34.492,34.502,29.746,29.671,22.004
